time,x,y,theta
3354000.00000,0.37801,0.98197,1.99327
3380000.00000,0.37801,1.02135,1.99327
3406000.00000,0.37801,1.02135,1.99327
3432000.00000,0.37801,1.02135,1.92790
3458000.00000,0.37801,1.02135,1.92790
3484000.00000,0.37801,1.02135,1.92790
3510000.00000,0.36243,1.05928,1.92790
3536000.00000,0.36243,1.05928,1.92790
3562000.00000,0.36243,1.05928,1.88723
3588000.00000,0.36243,1.05928,1.88723
3614000.00000,0.36243,1.05928,1.88723
3640000.00000,0.34910,1.05928,1.88723
3666000.00000,0.34910,1.09736,1.88723
3692000.00000,0.34910,1.09736,1.88723
3718000.00000,0.34910,1.09736,1.86085
3744000.00000,0.34910,1.09736,1.86085
3770000.00000,0.34910,1.09736,1.86085
3796000.00000,0.33668,1.13706,1.86085
3822000.00000,0.33668,1.13706,1.86085
3848000.00000,0.33668,1.13706,1.81970
3874000.00000,0.33668,1.13706,1.81970
3900000.00000,0.33668,1.13706,1.81970
3926000.00000,0.32519,1.13706,1.81970
3952000.00000,0.32519,1.17865,1.81970
3978000.00000,0.32519,1.17865,1.81970
4004000.00000,0.32519,1.17865,1.77802
4030000.00000,0.32519,1.17865,1.77802
4056000.00000,0.32519,1.17865,1.77802
4082000.00000,0.31580,1.21913,1.77802
4108000.00000,0.31580,1.21913,1.77802
4134000.00000,0.31580,1.21913,1.74847
4160000.00000,0.31580,1.21913,1.74847
4186000.00000,0.31580,1.21913,1.74847
4212000.00000,0.30808,1.21913,1.74847
4238000.00000,0.30808,1.25870,1.74847
4264000.00000,0.30808,1.25870,1.74847
4290000.00000,0.30808,1.25870,1.72426
4316000.00000,0.30808,1.25870,1.72426
4342000.00000,0.30808,1.25870,1.72426
4368000.00000,0.30136,1.29893,1.72426
4394000.00000,0.30136,1.29893,1.72426
4420000.00000,0.30136,1.29893,1.71023
4446000.00000,0.30136,1.29893,1.71023
4472000.00000,0.30136,1.29893,1.71023
4498000.00000,0.29544,1.29893,1.71023
4524000.00000,0.29544,1.33910,1.71023
4550000.00000,0.29544,1.33910,1.71023
4576000.00000,0.29544,1.33910,1.70604
4602000.00000,0.29544,1.33910,1.70604
4628000.00000,0.29544,1.33910,1.70604
4654000.00000,0.28981,1.37980,1.70604
4680000.00000,0.28981,1.37980,1.70604
4706000.00000,0.28981,1.37980,1.69984
4732000.00000,0.28981,1.37980,1.69984
4758000.00000,0.28981,1.37980,1.69984
4784000.00000,0.28417,1.37980,1.69984
4810000.00000,0.28417,1.42226,1.69984
4836000.00000,0.28417,1.42226,1.69984
4862000.00000,0.28417,1.42226,1.67791
4888000.00000,0.28417,1.42226,1.67791
4914000.00000,0.28417,1.42226,1.67791
4940000.00000,0.27902,1.46565,1.67791
4966000.00000,0.27902,1.46565,1.67791
4992000.00000,0.27902,1.46565,1.63630
5018000.00000,0.27902,1.46565,1.63630
5044000.00000,0.27902,1.46565,1.63630
5070000.00000,0.27532,1.46565,1.63630
5096000.00000,0.27532,1.50838,1.63630
5122000.00000,0.27532,1.50838,1.63630
5148000.00000,0.27532,1.50838,1.58388
5174000.00000,0.27532,1.50838,1.58388
5200000.00000,0.27362,1.50838,1.58388
5226000.00000,0.27362,1.55166,1.58388
5252000.00000,0.27362,1.55166,1.58388
5278000.00000,0.27362,1.55166,1.51454
5304000.00000,0.27362,1.55166,1.51454
5330000.00000,0.27362,1.55166,1.51454
5356000.00000,0.27458,1.55166,1.51454
5382000.00000,0.27458,1.59609,1.51454
5408000.00000,0.27458,1.59609,1.51454
5434000.00000,0.27458,1.59609,1.45262
5460000.00000,0.27458,1.59609,1.45262
5486000.00000,0.27827,1.59609,1.45262
5512000.00000,0.27827,1.63831,1.45262
5538000.00000,0.27827,1.63831,1.45262
5564000.00000,0.27827,1.63831,1.41430
5590000.00000,0.27827,1.63831,1.41430
5616000.00000,0.27827,1.63831,1.41430
5642000.00000,0.28376,1.63831,1.41430
5668000.00000,0.28376,1.67801,1.41430
5694000.00000,0.28376,1.67801,1.41430
5720000.00000,0.28376,1.67801,1.38132
5746000.00000,0.28376,1.67801,1.38132
5772000.00000,0.29086,1.67801,1.38132
5798000.00000,0.29086,1.71865,1.38132
5824000.00000,0.29086,1.71865,1.38132
5850000.00000,0.29086,1.71865,1.32911
5876000.00000,0.29086,1.71865,1.32911
5902000.00000,0.29086,1.71865,1.32911
5928000.00000,0.29995,1.76015,1.32911
