time,x,y,theta,mode
2.42548,0.52953,0.93431,0.78146ModePathFollowingn
2.45048,0.53650,0.94100,0.74970ModePathFollowingn
2.47548,0.54359,0.94740,0.72064ModePathFollowingn
2.50048,0.55085,0.95362,0.69475ModePathFollowingn
2.52549,0.55834,0.95972,0.67286ModePathFollowingn
2.55049,0.56596,0.96567,0.65535ModePathFollowingn
2.57549,0.57363,0.97148,0.64211ModePathFollowingn
2.60053,0.58152,0.97732,0.63292ModePathFollowingn
2.62553,0.58939,0.98306,0.62690ModePathFollowingn
2.65054,0.59728,0.98876,0.62447ModePathFollowingn
2.67554,0.60519,0.99445,0.62488ModePathFollowingn
2.70054,0.61307,1.00015,0.62765ModePathFollowingn
2.72555,0.62098,1.00592,0.63224ModePathFollowingn
2.75055,0.62879,1.01168,0.63866ModePathFollowingn
2.77555,0.63658,1.01750,0.64569ModePathFollowingn
2.80055,0.64423,1.02332,0.65394ModePathFollowingn
2.82556,0.65179,1.02916,0.66191ModePathFollowingn
2.85056,0.65925,1.03503,0.67083ModePathFollowingn
2.87556,0.66662,1.04092,0.67908ModePathFollowingn
2.90056,0.67396,1.04690,0.68827ModePathFollowingn
2.92556,0.68136,1.05304,0.69590ModePathFollowingn
2.95057,0.68885,1.05934,0.70246ModePathFollowingn
2.97557,0.69644,1.06579,0.70732ModePathFollowingn
3.00058,0.70408,1.07238,0.71104ModePathFollowingn
3.02558,0.71187,1.07908,0.71327ModePathFollowingn
3.05058,0.71954,1.08572,0.71374ModePathFollowingn
3.07558,0.72713,1.09228,0.71178ModePathFollowingn
3.10059,0.73467,1.09876,0.70780ModePathFollowingn
3.12559,0.74211,1.10509,0.70151ModePathFollowingn
3.15059,0.74959,1.11135,0.69239ModePathFollowingn
3.17559,0.75709,1.11751,0.68178ModePathFollowingn
3.20060,0.76472,1.12363,0.66995ModePathFollowingn
3.22560,0.77246,1.12968,0.65698ModePathFollowingn
3.25060,0.78025,1.13561,0.64387ModePathFollowingn
3.27560,0.78813,1.14144,0.63035ModePathFollowingn
3.30061,0.79602,1.14712,0.61744ModePathFollowingn
3.32561,0.80387,1.15262,0.60535ModePathFollowingn
3.35061,0.81174,1.15800,0.59372ModePathFollowingn
3.37562,0.81957,1.16323,0.58291ModePathFollowingn
3.40062,0.82734,1.16831,0.57257ModePathFollowingn
3.42562,0.83522,1.17331,0.56338ModePathFollowingn
3.45062,0.84315,1.17828,0.55574ModePathFollowingn
3.47563,0.85126,1.18328,0.54959ModePathFollowingn
3.50063,0.85944,1.18827,0.54560ModePathFollowingn
3.52563,0.86775,1.19330,0.54337ModePathFollowingn
3.55063,0.87620,1.19840,0.54277ModePathFollowingn
3.57563,0.88461,1.20348,0.54358ModePathFollowingn
3.60064,0.89300,1.20856,0.54547ModePathFollowingn
3.62564,0.90135,1.21364,0.54878ModePathFollowingn
3.65064,0.90958,1.21869,0.55297ModePathFollowingn
3.67564,0.91775,1.22376,0.55844ModePathFollowingn
3.70064,0.92585,1.22886,0.56399ModePathFollowingn
3.72565,0.93387,1.23398,0.57101ModePathFollowingn
3.75065,0.94180,1.23911,0.57777ModePathFollowingn
3.80389,0.95867,1.25030,0.59318ModePathFollowingn
3.82890,0.96666,1.25572,0.60001ModePathFollowingn
3.85390,0.97475,1.26128,0.60514ModePathFollowingn
3.87890,0.98283,1.26690,0.60947ModePathFollowingn
3.90390,0.99093,1.27258,0.61285ModePathFollowingn
3.92890,0.99902,1.27829,0.61582ModePathFollowingn
3.95391,1.00717,1.28407,0.61812ModePathFollowingn
3.97891,1.01527,1.28983,0.61927ModePathFollowingn
4.00391,1.02336,1.29561,0.61988ModePathFollowingn
4.02891,1.03144,1.30137,0.61967ModePathFollowingn
4.05392,1.03952,1.30713,0.61893ModePathFollowingn
4.07892,1.04764,1.31291,0.61737ModePathFollowingn
4.10392,1.05568,1.31861,0.61602ModePathFollowingn
