time,x,y,theta
3000.00000,0.99962,0.40098,2.17344
6000.00000,0.99962,0.40098,2.17344
9000.00000,0.99962,0.40098,2.17344
12000.00000,0.99962,0.40098,2.17344
15000.00000,0.99962,0.40098,2.17344
18000.00000,0.99962,0.40098,2.17344
21000.00000,0.99962,0.40098,2.17344
24000.00000,0.99962,0.40098,2.17344
27000.00000,0.99962,0.40098,2.17344
30000.00000,0.99962,0.40098,2.17344
33000.00000,0.99962,0.40098,2.17344
36000.00000,0.99962,0.40098,2.17344
39000.00000,0.99962,0.40098,2.17344
42000.00000,0.99962,0.40098,2.17344
45000.00000,0.99962,0.40098,2.17344
48000.00000,0.99962,0.40098,2.17344
51000.00000,0.99962,0.40098,2.17344
54000.00000,0.99962,0.40098,2.17344
57000.00000,0.99962,0.40098,2.17344
60000.00000,0.99906,0.40098,2.17344
63000.00000,0.99906,0.40098,2.17344
66000.00000,0.99906,0.40098,2.17344
69000.00000,0.99906,0.40098,2.17344
72000.00000,0.99906,0.40189,2.17344
75000.00000,0.99906,0.40189,2.17344
78000.00000,0.99906,0.40189,2.17344
81000.00000,0.99906,0.40189,2.17344
84000.00000,0.99906,0.40189,2.17344
87000.00000,0.99906,0.40189,2.17344
90000.00000,0.99906,0.40189,2.17344
93000.00000,0.99906,0.40189,2.17344
96000.00000,0.99906,0.40189,2.17344
99000.00000,0.99906,0.40189,2.17344
102000.00000,0.99906,0.40189,2.17344
105000.00000,0.99906,0.40189,2.17344
108000.00000,0.99906,0.40189,2.17344
111000.00000,0.99906,0.40189,2.17344
114000.00000,0.99906,0.40189,2.17344
117000.00000,0.99906,0.40189,2.17344
120000.00000,0.99906,0.40189,2.17344
123000.00000,0.99906,0.40189,2.17344
126000.00000,0.99906,0.40189,2.28959
129000.00000,0.99906,0.40189,2.28959
132000.00000,0.99906,0.40189,2.28959
135000.00000,0.99906,0.40189,2.28959
138000.00000,0.99906,0.40189,2.28959
141000.00000,0.99906,0.40189,2.28959
144000.00000,0.99906,0.40189,2.28959
147000.00000,0.99906,0.40189,2.28959
150000.00000,0.99906,0.40189,2.28959
153000.00000,0.99906,0.40189,2.28959
156000.00000,0.99906,0.40189,2.28959
159000.00000,0.99906,0.40189,2.28959
162000.00000,0.99906,0.40189,2.28959
165000.00000,0.99906,0.40189,2.28959
168000.00000,0.99906,0.40189,2.28959
171000.00000,0.99906,0.40189,2.28959
174000.00000,0.99906,0.40189,2.28959
177000.00000,0.99906,0.40189,2.28959
180000.00000,0.99906,0.40189,2.28959
183000.00000,0.99906,0.40189,2.28959
186000.00000,0.99906,0.40189,2.28959
189000.00000,0.99906,0.40189,2.28959
192000.00000,0.99906,0.40189,2.28959
195000.00000,0.99906,0.40189,2.28959
198000.00000,0.99906,0.40189,2.28959
201000.00000,0.99549,0.40189,2.28959
204000.00000,0.99549,0.40189,2.28959
207000.00000,0.99549,0.40189,2.28959
210000.00000,0.99549,0.40189,2.28959
213000.00000,0.99549,0.40189,2.28959
216000.00000,0.99549,0.40648,2.28959
219000.00000,0.99549,0.40648,2.28959
222000.00000,0.99549,0.40648,2.28959
225000.00000,0.99549,0.40648,2.28959
228000.00000,0.99549,0.40648,2.28959
231000.00000,0.99549,0.40648,2.28959
234000.00000,0.99549,0.40648,2.28959
237000.00000,0.99549,0.40648,2.28959
240000.00000,0.99549,0.40648,2.28959
243000.00000,0.99549,0.40648,2.28959
246000.00000,0.99549,0.40648,2.28959
249000.00000,0.99549,0.40648,2.28959
252000.00000,0.99549,0.40648,2.28959
255000.00000,0.99549,0.40648,2.28959
258000.00000,0.99549,0.40648,2.28959
261000.00000,0.99549,0.40648,2.28959
264000.00000,0.99549,0.40648,2.28959
267000.00000,0.99549,0.40648,2.49101
270000.00000,0.99549,0.40648,2.49101
273000.00000,0.99549,0.40648,2.49101
276000.00000,0.99549,0.40648,2.49101
279000.00000,0.99549,0.40648,2.49101
282000.00000,0.99549,0.40648,2.49101
285000.00000,0.99549,0.40648,2.49101
288000.00000,0.99549,0.40648,2.49101
291000.00000,0.99549,0.40648,2.49101
294000.00000,0.99549,0.40648,2.49101
297000.00000,0.99549,0.40648,2.49101
300000.00000,0.99549,0.40648,2.49101
303000.00000,0.99549,0.40648,2.49101
306000.00000,0.99549,0.40648,2.49101
309000.00000,0.99549,0.40648,2.49101
312000.00000,0.99549,0.40648,2.49101
315000.00000,0.99549,0.40648,2.49101
318000.00000,0.99549,0.40648,2.49101
321000.00000,0.99549,0.40648,2.49101
324000.00000,0.99549,0.40648,2.49101
327000.00000,0.99549,0.40648,2.49101
330000.00000,0.99549,0.40648,2.49101
333000.00000,0.99549,0.40648,2.49101
336000.00000,0.99549,0.40648,2.49101
339000.00000,0.99549,0.40648,2.49101
342000.00000,0.99549,0.40648,2.49101
345000.00000,0.97573,0.40648,2.49101
348000.00000,0.97573,0.40648,2.49101
351000.00000,0.97573,0.40648,2.49101
354000.00000,0.97573,0.40648,2.49101
357000.00000,0.97573,0.42494,2.49101
360000.00000,0.97573,0.42494,2.49101
